time_s,temperature_C,air_moisture_kgkg,temperature_K
0,28,0.01963,301.15
60,28.528,0.02002,301.678
120,29.192,0.02053,302.342
180,29.684,0.021,302.834
240,30.037,0.02151,303.187
300,30.834,0.02191,303.984
360,31.293,0.02233,304.443
420,31.82,0.02278,304.97
480,32.121,0.02325,305.271
540,32.73,0.02377,305.88
600,33.202,0.02428,306.352
660,33.879,0.02465,307.029
720,34.268,0.02506,307.418
780,34.806,0.02552,307.956
840,35.142,0.02612,308.292
900,35.524,0.0266,308.674
960,36.091,0.02687,309.241
1020,36.354,0.02732,309.504
1080,37.067,0.02793,310.217
1140,37.419,0.02826,310.569
1200,37.882,0.02891,311.032
1260,38.134,0.02921,311.284
1320,38.767,0.02961,311.917
1380,39.125,0.03029,312.275
1440,39.458,0.03051,312.608
1500,39.595,0.03098,312.745
1560,40.061,0.03137,313.211
1620,40.238,0.03179,313.388
1680,40.621,0.03219,313.771
1740,41.166,0.03262,314.316
1800,41.513,0.03307,314.663
1860,41.918,0.03345,315.068
1920,41.952,0.03403,315.102
1980,42.263,0.03447,315.413
2040,42.589,0.03476,315.739
2100,42.745,0.03513,315.895
2160,42.985,0.03558,316.135
2220,43.393,0.03609,316.543
2280,43.534,0.03646,316.684
2340,43.97,0.03653,317.12
2400,44.102,0.03694,317.252
2460,44.503,0.03731,317.653
2520,44.663,0.03766,317.813
2580,44.701,0.03812,317.851
2640,45.138,0.0384,318.288
2700,45.323,0.03858,318.473
2760,45.324,0.03903,318.474
2820,45.462,0.0394,318.612
2880,45.818,0.03954,318.968
2940,45.739,0.04013,318.889
3000,45.93,0.04011,319.08
3060,45.999,0.04076,319.149
3120,46.512,0.0407,319.662
3180,46.602,0.04128,319.752
3240,46.761,0.04157,319.911
3300,46.933,0.04187,320.083
3360,46.912,0.04205,320.062
3420,47.089,0.04229,320.239
3480,47.008,0.04247,320.158
3540,47.111,0.04277,320.261
3600,47.485,0.04272,320.635
3660,47.498,0.04312,320.648
3720,47.646,0.04333,320.796
3780,47.84,0.04369,320.99
3840,47.873,0.04373,321.023
3900,47.926,0.04389,321.076
3960,48.016,0.0442,321.166
4020,47.977,0.04422,321.127
4080,47.926,0.04435,321.076
4140,48.199,0.04468,321.349
4200,48.166,0.04483,321.316
4260,48.331,0.04491,321.481
4320,48.615,0.04514,321.765
4380,48.38,0.0453,321.53
4440,48.357,0.04543,321.507
4500,48.526,0.04561,321.676
4560,48.59,0.04589,321.74
4620,48.825,0.04585,321.975
4680,48.827,0.04629,321.977
4740,48.988,0.04641,322.138
4800,48.979,0.04633,322.129
4860,48.9,0.04639,322.05
4920,49.144,0.0466,322.294
4980,48.87,0.04687,322.02
5040,48.84,0.04689,321.99
5100,48.913,0.04707,322.063
5160,49.261,0.04705,322.411
5220,49.169,0.0472,322.319
5280,49.056,0.04713,322.206
5340,49.257,0.04744,322.407
5400,49.116,0.04728,322.266
5460,49.415,0.0476,322.565
5520,49.321,0.04777,322.471
5580,49.317,0.04751,322.467
5640,49.304,0.04782,322.454
5700,49.492,0.04765,322.642
5760,49.384,0.04802,322.534
5820,49.272,0.04779,322.422
5880,49.31,0.04827,322.46
5940,49.749,0.04795,322.899
6000,49.743,0.04841,322.893
6060,49.66,0.0484,322.81
6120,49.463,0.04836,322.613
6180,49.83,0.04851,322.98
6240,49.753,0.04858,322.903
6300,49.739,0.04871,322.889
6360,49.622,0.04842,322.772
6420,49.55,0.04864,322.7
6480,49.477,0.04845,322.627
6540,49.891,0.04875,323.041
6600,49.683,0.04858,322.833
6660,49.569,0.04882,322.719
6720,49.633,0.04886,322.783
6780,49.781,0.04885,322.931
6840,49.592,0.04892,322.742
6900,49.941,0.04908,323.091
6960,49.902,0.04913,323.052
7020,49.892,0.04902,323.042
7080,49.759,0.04911,322.909
7140,49.865,0.0493,323.015
7200,49.852,0.04894,323.002
7260,49.893,0.04897,323.043
7320,49.619,0.04898,322.769
7380,49.792,0.04929,322.942
7440,49.612,0.0492,322.762
7500,49.845,0.04941,322.995
7560,49.77,0.04938,322.92
7620,49.683,0.04924,322.833
7680,49.669,0.04954,322.819
7740,49.916,0.0495,323.066
7800,49.714,0.04928,322.864
7860,50.095,0.04935,323.245
7920,49.929,0.04934,323.079
7980,49.817,0.04929,322.967
8040,49.943,0.0493,323.093
8100,49.664,0.04971,322.814
8160,50.135,0.04948,323.285
8220,49.902,0.04947,323.052
8280,50.056,0.04966,323.206
8340,49.71,0.04959,322.86
