time_s,radius_cm,radius_m
0,2,0.02
1800,1.873,0.01873
3600,1.794,0.01794
5400,1.703,0.01703
7200,1.625,0.01625
9000,1.589,0.01589
10800,1.552,0.01552
12600,1.51,0.0151
14400,1.477,0.01477
16200,1.447,0.01447
18000,1.424,0.01424
19800,1.397,0.01397
21600,1.374,0.01374
23400,1.356,0.01356
25200,1.337,0.01337
27000,1.321,0.01321
28800,1.311,0.01311
30600,1.299,0.01299
32400,1.291,0.01291
34200,1.281,0.01281
36000,1.273,0.01273
37800,1.266,0.01266
39600,1.26,0.0126
41400,1.253,0.01253
43200,1.248,0.01248
45000,1.244,0.01244
46800,1.24,0.0124
48600,1.236,0.01236
50400,1.233,0.01233
52200,1.229,0.01229
54000,1.226,0.01226
55800,1.223,0.01223
57600,1.221,0.01221
59400,1.219,0.01219
61200,1.218,0.01218
63000,1.216,0.01216
64800,1.214,0.01214
66600,1.213,0.01213
68400,1.212,0.01212
70200,1.211,0.01211
72000,1.21,0.0121
73800,1.209,0.01209
75600,1.208,0.01208
77400,1.207,0.01207
79200,1.206,0.01206
81000,1.206,0.01206
82800,1.205,0.01205
84600,1.205,0.01205
86400,1.204,0.01204
88200,1.204,0.01204
90000,1.203,0.01203
91800,1.203,0.01203
93600,1.203,0.01203
95400,1.203,0.01203
97200,1.202,0.01202
99000,1.202,0.01202
100800,1.202,0.01202
102600,1.202,0.01202
104400,1.202,0.01202
106200,1.201,0.01201
108000,1.201,0.01201
109800,1.201,0.01201
111600,1.201,0.01201
113400,1.201,0.01201
115200,1.201,0.01201
117000,1.201,0.01201
118800,1.201,0.01201
120600,1.201,0.01201
122400,1.201,0.01201
124200,1.201,0.01201
126000,1.2,0.012
127800,1.2,0.012
129600,1.2,0.012
131400,1.2,0.012
133200,1.2,0.012
135000,1.2,0.012
136800,1.2,0.012
138600,1.2,0.012
140400,1.2,0.012
142200,1.2,0.012
144000,1.2,0.012
145800,1.2,0.012
147600,1.2,0.012
149400,1.2,0.012
151200,1.2,0.012
153000,1.2,0.012
154800,1.2,0.012
156600,1.2,0.012
158400,1.2,0.012
160200,1.2,0.012
162000,1.2,0.012
163800,1.2,0.012
165600,1.2,0.012
167400,1.2,0.012
169200,1.2,0.012
171000,1.2,0.012
172800,1.2,0.012
174600,1.2,0.012
176400,1.2,0.012
178200,1.2,0.012
180000,1.2,0.012
181800,1.2,0.012
183600,1.2,0.012
185400,1.2,0.012
187200,1.2,0.012
189000,1.2,0.012
190800,1.2,0.012
192600,1.2,0.012
194400,1.2,0.012
196200,1.2,0.012
198000,1.2,0.012
199800,1.2,0.012
201600,1.2,0.012
203400,1.2,0.012
205200,1.2,0.012
207000,1.2,0.012
208800,1.199,0.01199
210600,1.199,0.01199
212400,1.199,0.01199
214200,1.199,0.01199
216000,1.199,0.01199
217800,1.199,0.01199
219600,1.199,0.01199
221400,1.199,0.01199
223200,1.199,0.01199
225000,1.199,0.01199
226800,1.199,0.01199
228600,1.199,0.01199
230400,1.199,0.01199
232200,1.199,0.01199
234000,1.199,0.01199
235800,1.199,0.01199
237600,1.199,0.01199
239400,1.199,0.01199
241200,1.198,0.01198
243000,1.198,0.01198
244800,1.198,0.01198
246600,1.198,0.01198
248400,1.198,0.01198
250200,1.198,0.01198
252000,1.198,0.01198
253800,1.198,0.01198
255600,1.198,0.01198
257400,1.198,0.01198
259200,1.198,0.01198
